fold,val_loss,gtvp_mean_dsc,gtvn_agg_dsc,gtvn_f1agg,task1_proxy_score,gtvn_tp,gtvn_fp,gtvn_fn,num_cases,val_min_gtvn_size,sw_overlap,loss_name,learning_rate,weight_decay
0,0.6614595616565031,0.17477150762932409,0.21856775923622443,0.08995502248875563,0.16451644924590705,30,456,151,136,3,0.25,dice_ce,0.0008795986,1.253439e-05
1,0.6073728501796722,0.34386597177369715,0.03127443315089914,0.0,0.17975159417457337,0,661,231,136,3,0.25,dice_ce,0.0008795986,1.253439e-05
2,0.6133595209787873,0.32724567770510865,0.026064410480349343,0.0,0.17013894147264166,0,742,224,136,3,0.25,dice_ce,0.0008795986,1.253439e-05
3,0.6017319790142424,0.351039138393842,0.05107236234248757,0.0,0.1882876597825429,0,396,220,136,3,0.25,dice_ce,0.0008795986,1.253439e-05
4,0.7136387619025567,0.02204473711148841,0.01134786745437936,0.0,0.013859335419339045,0,6181,194,136,3,0.25,dice_ce,0.0008795986,1.253439e-05
mean,0.6395125347463523,0.2437934065226921,0.06766536653286798,0.017991004497751126,0.14331079601900082,6.0,1687.2,204.0,136.0,3.0,0.25,,0.0008795986000000001,1.2534390000000002e-05
